growth_rate,production,is_pareto,n_batch,n_start,n_candidates,init_growth_rate,init_production
0.85,0.024035575,False,100,50,15,0.85,0.021073837077251217
0.85,0.027229,False,100,50,15,0.85,0.021073837077251217
0.85,0.026852733,False,100,50,15,0.85,0.021073837077251217
0.85,0.027166618,False,100,50,15,0.85,0.021073837077251217
0.85,0.023793293,False,100,50,15,0.85,0.021073837077251217
0.85,0.024197605,False,100,50,15,0.85,0.021073837077251217
0.85,0.021831315,False,100,50,15,0.85,0.021073837077251217
0.0,0.061429385,False,100,50,15,0.85,0.021073837077251217
0.0,0.06380084,False,100,50,15,0.85,0.021073837077251217
0.85,0.022316387,False,100,50,15,0.85,0.021073837077251217
0.85,0.023112353,False,100,50,15,0.85,0.021073837077251217
0.85,0.023668276,False,100,50,15,0.85,0.021073837077251217
0.85,0.019443577,False,100,50,15,0.85,0.021073837077251217
0.85,0.026396932,False,100,50,15,0.85,0.021073837077251217
0.85,0.027544592,False,100,50,15,0.85,0.021073837077251217
0.85,0.025430638,False,100,50,15,0.85,0.021073837077251217
2.9171198e-14,0.06380084,False,100,50,15,0.85,0.021073837077251217
0.85,0.014518383,False,100,50,15,0.85,0.021073837077251217
0.85,0.005687444,False,100,50,15,0.85,0.021073837077251217
0.85,0.027544592,False,100,50,15,0.85,0.021073837077251217
0.85,0.016574724,False,100,50,15,0.85,0.021073837077251217
0.85,0.022458129,False,100,50,15,0.85,0.021073837077251217
0.85,0.020240828,False,100,50,15,0.85,0.021073837077251217
0.85,0.024100205,False,100,50,15,0.85,0.021073837077251217
0.85,0.023418685,False,100,50,15,0.85,0.021073837077251217
0.0,0.06380084,False,100,50,15,0.85,0.021073837077251217
0.85,0.025903102,False,100,50,15,0.85,0.021073837077251217
0.85,0.022028653,False,100,50,15,0.85,0.021073837077251217
0.85,0.012572886,False,100,50,15,0.85,0.021073837077251217
0.85,0.025678324,False,100,50,15,0.85,0.021073837077251217
0.0,0.03591042,False,100,50,15,0.85,0.021073837077251217
3.3048884e-13,0.06273455,False,100,50,15,0.85,0.021073837077251217
0.0,0.054388177,False,100,50,15,0.85,0.021073837077251217
0.0,0.06380084,False,100,50,15,0.85,0.021073837077251217
0.0,0.050746735,False,100,50,15,0.85,0.021073837077251217
0.0,0.05271208,False,100,50,15,0.85,0.021073837077251217
0.0,0.042059854,False,100,50,15,0.85,0.021073837077251217
0.0,0.03397738,False,100,50,15,0.85,0.021073837077251217
0.0,0.06380084,False,100,50,15,0.85,0.021073837077251217
0.0,0.034806833,False,100,50,15,0.85,0.021073837077251217
0.0,0.017559271,False,100,50,15,0.85,0.021073837077251217
0.85,0.026734496,False,100,50,15,0.85,0.021073837077251217
