cost,production,is_pareto,n_batch,n_start,n_candidates,init_cost,init_production
184.85641,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1494.7361,0.008758248,False,100,50,15,2210.8624803400003,0.021073837077251217
1116.0404,0.011718308,False,100,50,15,2210.8624803400003,0.021073837077251217
1530.9291,0.007761897,False,100,50,15,2210.8624803400003,0.021073837077251217
1520.0443,0.013361543,False,100,50,15,2210.8624803400003,0.021073837077251217
2204.7964,0.009364801,False,100,50,15,2210.8624803400003,0.021073837077251217
633.3235,0.047863405,False,100,50,15,2210.8624803400003,0.021073837077251217
302.0708,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
360.55307,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
391.05817,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2880.2354,0.044720728,False,100,50,15,2210.8624803400003,0.021073837077251217
120.25073,0.0075432346,False,100,50,15,2210.8624803400003,0.021073837077251217
907.98047,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2659.1064,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1635.7976,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2584.3782,0.014974287,False,100,50,15,2210.8624803400003,0.021073837077251217
1654.0735,0.0098188,False,100,50,15,2210.8624803400003,0.021073837077251217
1710.2,0.009110512,False,100,50,15,2210.8624803400003,0.021073837077251217
1759.0597,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
976.8443,0.03561346,False,100,50,15,2210.8624803400003,0.021073837077251217
2531.3062,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
814.0412,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2029.7633,0.019552521,False,100,50,15,2210.8624803400003,0.021073837077251217
1321.6876,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1094.4766,0.02786562,False,100,50,15,2210.8624803400003,0.021073837077251217
2399.4038,0.0030486477,False,100,50,15,2210.8624803400003,0.021073837077251217
503.11768,0.045762982,False,100,50,15,2210.8624803400003,0.021073837077251217
1658.675,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
