growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.85,2111.3323,0.02041719,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2502.0125,0.023353878,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2739.5872,0.023618596,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2870.287,0.024032302,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,3226.2053,0.025684027,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2340.1055,0.020779084,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2285.1594,0.021222938,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2595.938,0.023028946,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2565.1177,0.024180336,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2872.348,0.02447882,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2871.4912,0.025749581,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2934.8489,0.024394756,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2293.479,0.020155873,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2870.569,0.023443673,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2637.176,0.02228082,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2396.6174,0.022077786,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2212.3755,0.020490712,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1818.4025,0.017632024,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1952.5798,0.018991977,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2179.24,0.020205755,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2239.6978,0.021702088,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2708.628,0.02547302,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2646.605,0.025271075,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2205.8064,0.020434221,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2303.6023,0.021275239,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2046.8535,0.019841358,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2254.9895,0.020857183,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1817.453,0.017619357,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2478.081,0.022909883,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2081.054,0.019361382,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2272.7358,0.0220703,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1840.0294,0.018093266,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2305.0952,0.02235579,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2567.2085,0.024478879,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2229.963,0.021692729,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2330.0798,0.02257615,100,50,15,0.85,2210.8624803400003,0.021073837077251217
