EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,growth rate,cost,production rate,is pareto
10.828775318344514,0.001,0.1,5.06816557279486,0.001,0.08614031504279862,5.953368708624948,0.001,0.001,0.0001,0.0005,0.9075387430927351,1.0011799263849086,3.8714712081836744,90.0184757980289,18.85757454578345,1.9996787482907452,2.8415791892126583,4.628666082506415,4.182766240620078,0.28799573,1501.084,0.0,False
13.595797455980879,0.001,0.1,1.0389547912285773,0.001,2.2706889473301084,3.99113583211082,0.001,0.001,0.0001,0.0005,2.387124166335721,9.721207917265207,19.818839651396118,64.21186632089122,15.157428783232037,14.91110143164333,6.829718021064963,0.39727737739866154,7.429685342747776,0.7023415,2032.7579,0.0,False
10.219036400526688,0.001,0.1,7.485902363891154,0.001,3.5766103017316366,0.641996436961324,0.001,0.001,0.0001,0.0005,8.472341999604554,9.162171475129659,17.146072483143577,48.24272205067794,1.4363555612492585,1.473901598317382,6.570177370929545,9.219578377652555,3.8791007107586752,0.36064652,2504.7942,0.0,False
13.684793567155562,0.001,0.1,3.452875401175456,0.001,9.1414415832803,0.14835805167164984,0.001,0.001,0.0001,0.0005,4.597461845764591,5.846965937157298,6.639094181488674,80.2576316463331,2.490114699419519,2.956230238230948,6.2393668083308595,1.5295117652942103,9.252899626027533,0.29430005,2045.9052,0.0,False
27.917323842350555,0.001,0.1,7.102096763155525,0.001,6.25634240675208,0.36380653265520646,0.001,0.001,0.0001,0.0005,6.110307044644157,3.576590287295427,4.383355532183679,69.86262770158092,7.461873990745975,9.66685630787061,2.010393528123436,0.2634727185297525,2.9911162427209725,0.6984149,1466.3713,0.0,False
33.619690553973584,0.001,0.1,9.702834992986253,0.001,6.8963034355376,9.192384938808223,0.001,0.001,0.0001,0.0005,6.60186927669495,0.21035919149179683,18.152192484872863,95.02062151764711,18.60486858142305,6.3982680612010245,2.2812472051358714,6.470744656313649,1.4632463304618593,0.702663,2580.9053,0.0,False
34.93220600955717,0.001,0.1,5.5532975155718605,0.001,2.303977884564641,9.408960054325155,0.001,0.001,0.0001,0.0005,8.18865509394048,9.958781421436703,5.867450706820176,13.792410781505238,6.231917848535997,6.468068314125617,6.10160195520558,8.237440773905263,6.1829761240531935,0.5981775,3044.9514,0.0,False
35.294476633883086,0.001,0.1,5.592681492543295,0.001,1.3514685848958174,6.718481268654621,0.001,0.001,0.0001,0.0005,9.248402250902227,7.629537110515709,12.297686279084491,19.622801204943276,16.684755316373334,18.4409958305528,1.8816840798222978,9.695426121956142,3.931422617149767,0.85,2861.179,0.010321951,False
12.56015484837858,0.001,0.1,8.887258615527127,0.001,6.344150197754702,2.3532698884692227,0.001,0.001,0.0001,0.0005,1.5557279474716579,0.35956252797421095,3.361261518131864,87.71551589376688,10.433714701258477,0.17095561654650426,6.2239029024576595,5.900479055119688,5.384337926007287,0.29442906,2021.0454,0.0,False
10.447657576006447,0.001,0.1,8.957134891134274,0.001,3.044058160101728,5.934073871425546,0.001,0.001,0.0001,0.0005,3.604686156604262,6.677994466974094,16.391921554097788,28.762323213053886,19.998921097714366,13.232646252317736,9.578172165457433,1.884265946847219,0.7603737249297216,0.85,1797.1151,0.0042581586,False
