growth_rate,cost,is_pareto,n_batch,n_start,n_candidates,init_growth_rate,init_cost
0.85,1988.0685,False,100,50,15,0.85,2210.8624803400003
0.85,2130.0237,False,100,50,15,0.85,2210.8624803400003
0.4976568,955.1274,False,100,50,15,0.85,2210.8624803400003
0.0,68.58421,False,100,50,15,0.85,2210.8624803400003
0.0,246.99547,False,100,50,15,0.85,2210.8624803400003
0.0,280.29025,False,100,50,15,0.85,2210.8624803400003
0.5100854,953.1334,False,100,50,15,0.85,2210.8624803400003
0.85,1323.5194,False,100,50,15,0.85,2210.8624803400003
0.0,351.2461,False,100,50,15,0.85,2210.8624803400003
0.0,99.81231,False,100,50,15,0.85,2210.8624803400003
0.41251078,689.0036,False,100,50,15,0.85,2210.8624803400003
0.23546419,979.0106,False,100,50,15,0.85,2210.8624803400003
0.22878063,1296.5167,False,100,50,15,0.85,2210.8624803400003
0.7352823,976.45447,False,100,50,15,0.85,2210.8624803400003
0.85,855.7069,False,100,50,15,0.85,2210.8624803400003
0.0,371.43176,False,100,50,15,0.85,2210.8624803400003
0.0,90.565094,False,100,50,15,0.85,2210.8624803400003
0.40823352,835.82434,False,100,50,15,0.85,2210.8624803400003
0.0,495.9737,False,100,50,15,0.85,2210.8624803400003
0.0,83.656425,False,100,50,15,0.85,2210.8624803400003
0.43550122,752.1927,False,100,50,15,0.85,2210.8624803400003
0.85,1794.6385,False,100,50,15,0.85,2210.8624803400003
0.5998474,1053.5603,False,100,50,15,0.85,2210.8624803400003
0.0,327.71472,False,100,50,15,0.85,2210.8624803400003
0.34474015,1157.1866,False,100,50,15,0.85,2210.8624803400003
0.13460407,1963.3186,False,100,50,15,0.85,2210.8624803400003
0.49777126,1693.3296,False,100,50,15,0.85,2210.8624803400003
0.52522063,1031.2937,False,100,50,15,0.85,2210.8624803400003
0.0,435.86002,False,100,50,15,0.85,2210.8624803400003
0.5564185,1012.47577,False,100,50,15,0.85,2210.8624803400003
0.0,372.24347,False,100,50,15,0.85,2210.8624803400003
0.0,570.8166,False,100,50,15,0.85,2210.8624803400003
0.31246966,1672.4552,False,100,50,15,0.85,2210.8624803400003
0.0,7.764724,False,100,50,15,0.85,2210.8624803400003
0.0,1768.9879,False,100,50,15,0.85,2210.8624803400003
